Company,Title,Responsibilities,Requirements,Seniority,Employment_Type,Category,Address
,Infrastructure Engineer,"Roles & ResponsibilitiesVulcan-AI is an enterprise AI solution provider that helps enterprises do more with less. Better outcomes, with lesser resources and carbon footprint. We build AI to better manage the Internet of Things (IoT) and power responsible enterprises.
At Vulcan AI you’ll work with a team of people who are passionate about AI, IoT, Big Data and Design and love their respective crafts. The Management Team has a successful track record of delivering successful AI and IoT projects across APAC and building analytics business that were very successful commercially. Our AI team members have several research papers and patents in the field. You will be working with, and learning from the best.
As an Infrastructure Engineer you will work alongside with our talented Data/AI engineering team and data scientist team to build and deploy AI application for our customers on cloud and on-premise data ecosystems. You will use your expertise to solve complex challenges in data engineering and deployment for Vulcan AI platform.
Your Responsibilities:

Deploy, install, manage and support all Vulcan AI IT Infrastructure.
Help Vulcan AI team to provision and implement infrastructure needs for their development activities.
Manage and new set up IT security requirements on Vulcan AI laptops and servers.
Help and support in provisioning Cloud infrastructure for Vulcan AI development needs
Should support and enable networking requirements at Vulcan AI Office setup
Engage in cross function Vulcan AI team of data scientists / data engineer and full stack engineers to help and provision all infrastructure needs
Should have knack solving problems, and proactively strive to improve our products and technologies.
Must have can do attitude and evolve yourself by learning new techniques, workarounds and tools everyday

Requirements:

Bachelor’s degree with science background.
Minimum 1 year experience IT helpdesk and infrastructure support for Windows/Mac/Linux
Knowledge of Cloud infrastructure provisioning will be added advantage
Ability to communicate the logic with product stakeholders can understand and relate to infrastructure needs
A willingness to learn and should be go getter
Excellent verbal and written communication skills
Strong work ethic and the utmost attention to detail
",,Executive,Permanent,"Engineering, Information Technology","GOLDEN AGRI PLAZA, 108 PASIR PANJANG ROAD 118535"
,Senior Data Scientist ,"Roles & ResponsibilitiesSenior Data Scientist
Data Science is all about breaking new ground to enable businesses to answer their most urgent questions. Pioneering massively parallel data-intensive analytic processing, our mission is to develop a whole new approach to generating meaning and value from petabyte-scale data sets and shape brand new methodologies, tools, statistical methods and models. What’s more, we are in collaboration with leading academics, industry experts and highly skilled engineers to equip our customers to generate sophisticated new insights from the biggest of big data.
Roles & Responsibilities
You will lead efforts that will use data science to enable marketing to address their most intriguing and complex business questions. This role will give you an opportunity to work alongside a highly technical and established team of data scientists, data engineers and ML engineers as well as core business stakeholders and deliver end-to-end data science solutions.
Your responsibilities will be to empower the organization on these four key pillars:
CONNECT people processes & outcomes with data, driving a data-first culture in marketing. Be passionate about asking and answering questions in large datasets and have a strong desire to create strategies and solutions that challenge and expand the thinking of everyone around you
TRANSFORM data into actionable insights for impactful decision making. Deep dive into data to uncover the unknown and have a natural desire to go beneath the surface of a problem. Creatively visualize and effectively communicate data findings and insights in a variety of formats.
DEMOCRATIZE data science by advocating for use of AI/ML solutions and equip marketing for its future. Develop and deliver data science solutions to further advance Dell’s competitiveness in the areas of customer marketing experience. Utilise ability to think strategically about how to use data to drive competitive advantages.
EMPOWER explainable AI to build trust and confidence in decisions and actions. Promote transparency, simplicity and clarity of models to ease understanding and acceptance by business stakeholders.
Essential qualifications

Bachelors/Masters/PhD degree in a quantitative discipline/technical field
Experience with data science software
10+ years experience leading and/or participating in data science/data analytics projects end to end
Proficiency in programming language (R/Python etc.) and database manipulation using SQL
Experience with statistical data analysis and data science techniques
Experience in data visualization and data storytelling
Experience in articulating and educating technical & complex processes to a variety of non-technical audiences, bridging between technical and business.

Preferred qualifications

Experience in end-to-end deployment of data science/ML applications
Demonstrable experience with designing and simplifying complex processes and implementing them with a well-defined rhythm and rigor
Well organized, strong analytical skills, and capable of handling multiple projects with executive stakeholders
Experience managing end-to-end process improvement implementations spanning process, systems and people
A keen understanding of technology business

The position offers
Opportunity to drive cutting-edge strategies and digital solutions for one of the industry’s most respected customer experience organization Access and interaction with executive leadership team at a Fortune 50 company Opportunity to work with a highly motivated team that invests in your development A commitment to diversity and inclusion Competitive compensation including bonus plans and a great benefit package Exciting internal career opportunities to different roles",,Professional,Permanent,Information Technology,South  Changi Business Park Central 1 486036
,Senior Data Scientist,"Roles & ResponsibilitiesResponsibilities
· Feature engineering on financial market data and market trends
· Research on financial market data with purpose of detecting behaviour anomaly and market patterns
· Develop risk management system for the exchange by identifying the leading factors of market movements and measuring the impact of market fluctuations
· Enhancing data collection procedures to include information that is relevant for building analytic systems
· Processing, cleansing, and verifying the integrity of data used for analysis
· Building models to address business problem
· Presenting information using data visualization techniques
· Selecting features, building and optimizing classifiers using machine learning techniques
· Extending company’s data with third party sources of information when needed
· Creating automated anomaly detection systems and constant tracking of its performance
Requirements
· 5 years and above experience as a Data Scientist or Data Analyst
· Large market experience (USA, China, India etc) required
· Degree in Computer Science / Statistics / Mathematics / Financial Engineering or other quantitative field is a must
· Ability to speak native level Mandarin in order to collaborate with Mandarin speaking colleagues and clients based in Mainland China, who can’t speak English
· Experience in data mining
· Experience in machine learning application in finance market data, preferably in pattern recognition, anomaly detection. Familiarity with unsupervised algorithms
· Proficiency in Python/C++/Java/R
· Working experience with databases like SQL/ElasticSearch
· Exposure to algorithm trading and knowledge of market microstructure is a plus
· Familiarity with AWS and Linux is a plus
· Good applied statistics skills, such as distributions, statistical testing, regression, etc
· Problem Solving aptitude
· Ability to meet deadlines and work in a fast-paced environment
· Team player who is independent and collaborative",,Executive,Contract,Engineering,Islandwide
,Data Scientist  ,"Roles & ResponsibilitiesResponsibilities
· Feature engineering on financial market data and market trends
· Research on financial market data with purpose of detecting behaviour anomaly and market patterns
· Develop risk management system for the exchange by identifying the leading factors of market movements and measuring the impact of market fluctuations
· Enhancing data collection procedures to include information that is relevant for building analytic systems
· Processing, cleansing, and verifying the integrity of data used for analysis
· Building models to address business problem
· Presenting information using data visualization techniques
· Selecting features, building and optimizing classifiers using machine learning techniques
· Extending company’s data with third party sources of information when needed
· Creating automated anomaly detection systems and constant tracking of its performance
Requirements
· Proven previous experience as a Data Scientist or Data Analyst
· Degree in Computer Science / Statistics / Mathematics / Financial Engineering or other quantitative field is a must
· Ability to speak native level Mandarin in order to collaborate with Mandarin speaking colleagues and clients based in Mainland China, who can’t speak English
· Experience in data mining
· Experience in machine learning application in finance market data, preferably in pattern recognition, anomaly detection. Familiarity with unsupervised algorithms
· Proficiency in Python/C++/Java/R
· Working experience with databases like SQL/ElasticSearch
· Exposure to algorithm trading and knowledge of market microstructure is a plus
· Familiarity with AWS and Linux is a plus
· Good applied statistics skills, such as distributions, statistical testing, regression, etc
· Problem Solving aptitude
· Ability to meet deadlines and work in a fast-paced environment
· Team player who is independent and collaborative",,Executive,Contract,Engineering,Islandwide
,Senior Data Scientist,"Roles & ResponsibilitiesData Science is all about breaking new ground to enable businesses to answer their most urgent questions. Pioneering massively parallel data-intensive analytic processing, our mission is to develop a whole new approach to generating meaning and value from petabyte-scale data sets and shape brand new methodologies, tools, statistical methods and models. What’s more, we are in collaboration with leading academics, industry experts and highly skilled engineers to equip our customers to generate sophisticated new insights from the biggest of big data.
Roles & Responsibilities
You will lead efforts that will use data science to enable marketing to address their most intriguing and complex business questions. This role will give you an opportunity to work alongside a highly technical and established team of data scientists, data engineers and ML engineers as well as core business stakeholders and deliver end-to-end data science solutions.
Your responsibilities will be to empower the organization on these four key pillars:
CONNECT people processes & outcomes with data, driving a data-first culture in marketing. Be passionate about asking and answering questions in large datasets and have a strong desire to create strategies and solutions that challenge and expand the thinking of everyone around you
TRANSFORM data into actionable insights for impactful decision making. Deep dive into data to uncover the unknown and have a natural desire to go beneath the surface of a problem. Creatively visualize and effectively communicate data findings and insights in a variety of formats.
DEMOCRATIZE data science by advocating for use of AI/ML solutions and equip marketing for its future. Develop and deliver data science solutions to further advance Dell’s competitiveness in the areas of customer marketing experience. Utilise ability to think strategically about how to use data to drive competitive advantages.
EMPOWER explainable AI to build trust and confidence in decisions and actions. Promote transparency, simplicity and clarity of models to ease understanding and acceptance by business stakeholders.
Essential qualifications

Bachelors/Masters/PhD degree in a quantitative discipline/technical field
Experience with data science software
10+ years experience leading and/or participating in data science/data analytics projects end to end
Proficiency in programming language (R/Python etc.) and database manipulation using SQL
Experience with statistical data analysis and data science techniques
Experience in data visualization and data storytelling
Experience in articulating and educating technical & complex processes to a variety of non-technical audiences, bridging between technical and business.

Preferred qualifications

Experience in end-to-end deployment of data science/ML applications
Demonstrable experience with designing and simplifying complex processes and implementing them with a well-defined rhythm and rigor
Well organized, strong analytical skills, and capable of handling multiple projects with executive stakeholders
Experience managing end-to-end process improvement implementations spanning process, systems and people
A keen understanding of technology business

The position offers
Opportunity to drive cutting-edge strategies and digital solutions for one of the industry’s most respected customer experience organization Access and interaction with executive leadership team at a Fortune 50 company Opportunity to work with a highly motivated team that invests in your development A commitment to diversity and inclusion Competitive compensation including bonus plans and a great benefit package Exciting internal career opportunities to different roles",,Professional,Permanent,Information Technology,South  Changi Business Park Central 1 486036
,Data Scientist,"Roles & ResponsibilitiesYour role :
Do you want to keep criminals from abusing the financial system and legislative systems? Are you someone who likes to do the right thing? Do you know how to maintain independence and objectivity?

We're looking for a Data Scientist who can:

• Oversee model development and optimization across multiple lines of business (including correspondent banking, private and investment banking) and multiple Transaction Monitoring Systems, ensure sound risk coverage, adequate quantitative model assessment and validation, and data quality completeness and integrity

• Provide oversight and guidance to define relevant methodology/approach in a clear and concise manner to support the model optimization efforts and maintain standards for our methodology including segmentation, rule tuning, peer grouping and sampling (below the Line) 

• Document models inline with UBS model governance policies and standards

• Interacting with model risk management, IT and Financial Crime Prevention (FCP) business representatives

• Support all review and audit functions; create a model inventory list and ensure all models are reviewed, provide appropriate training to bank and unit staff, and lead a team of analytics experts to continually assess current and emerging high risk transactional activities via the utilization of innovative analytical methodologies

Your team :
You'll be joining a growing Models and Methodologies team as part of the APAC regional team. You'll play an important role in ensuring our models comply with our global model risk governance framework.

Your expertise :
• University degree in Computer Science, Physics, Statistics, Mathematics, Optimization, Electrical / Mechanical Engineering, or Aeronautics
• at least 2 years of experience performing data analysis and coding ideally in a financial service organization or significant post graduate academic studies or research
• strong technical/development skills in SQL Developer / SQL - Oracle / VBA / MS Access / Database Reporting
• strong data analytics capabilities, demonstrated mandatory experience in analytics platforms (Python and R) for data mining and statistical analysis
• excellent verbal and written English communication skills, excellent interpersonal skills and the ability to work effectively with colleagues across regions and business units
• result-oriented and assertive (you don’t shy away from challenging situations)
• highly flexible and detail-oriented with the ability to multi-task and change directions based on business demands",,Professional,Permanent,Banking and Finance,9 PENANG ROAD 238459
,Data Scientist,"Roles & ResponsibilitiesRole Purpose Statement 

This position will be an integral part of the Bunge Loders Croklaan (BLC) team. The Data Scientist will contribute by:

Identifying opportunities to utilize data-driven decision making to elevate commercial decision making
Developing, run, maintain and improve predictive and prescriptive analytics models for commercial use cases (e.g. pricing, cross-sell, customer churn prediction and etc.)
Delivering actionable insights to deliver business value
Driving commercial use cases together with stakeholders from the business, IT, data warehousing and financial reporting

Main Accountabilities 

Consultative approach to analytics project to deliver and communicate insights to stakeholders.
Develop and operationalize analytics models supporting business decision.
Utilize diverse internal and external data sources to generate business insights.
Help the business translate analytics models into tangible actions and track their impact.
Focus on continuous improvement to deliver better insights enabling more effective business decisions.

Key Relationships, Stakeholders & Interfaces 

This role is require to have physical interaction with the Singapore Team to build strong connection and engagement.
This role is require to work with stakeholders in different regions and will need to take occasional night calls.

Education/Experience

Graduate or post-graduate degree in quantitative fields including Statistics, Econometrics, Mathematics, or similar fields.
Solid understanding of statistics and machine learning concepts.
at least 2 years of professional work experience
Hands-on experience in diverse modelling techniques.
Strong experience in Python, R, etc.
Sound skills in database languages and environments like SQL.
Experience in different visualization tools and libraries (e.g. Tableau, Looker, seaborn) a strong plus.
Fluent in current version control tools is preferred.
",,Professional,Permanent,Information Technology,"GUOCO TOWER, 1 WALLICH STREET 078881"
,"Senior Staff Specialist, Data Scientist","Roles & ResponsibilitiesIn your new role you will:

Work with cross functional teams globally to harmonize requirements, design solutions and implementation in operations shop floor.
Drive collaboration with technical institutes / professional bodies on AI / ML technologies.
Collaborate within automation team to uplift current capabilities to harness AI / ML.
Solutions development for automatic object recognition, image segmentation and classification with Machine / Deep learning or other methods of Artificial Intelligence.
Development of software standards for the implementation of AI / ML models.
Define and develop new and advance ML models on equipment to enable process deviation detection, screening & elimination using advanced process control.
Leverage on edge / IIoT devices to enable data streaming and build on Machine.
Learning platform to develop ML models and implement on Semiconductor equipment & factory systems.



You are best equipped for this task if you have:

PhD / Master’s / Bachelor’s Degree in Computer Science / Systems Engineering Electrical Engineering with 5-8 years of experience in the field of AI / ML / Data Science, preferably in the Semiconductor / Manufacturing industry
Expert in application of deep learning and neural networks concepts from development to deployment in manufacturing operations
Extensive experience in developing visual analytics pre-processing tools
Proficient in algorithmic approaches to ML / AI and its implementation
Strong understanding of computational complexity, data structures, programming languages, design patterns and software architectures
Skilled in dealing with the latest ML frameworks, services, and tools such as Hadoop , Apache Spark, TensorFlow , Keras , Scikit
Experienced in industrial projects and work in a customer and result-oriented manner; experience with giving training on AI / ML for engineering & operations community will be advantageous
Familiar with automation protocol such as SECS/GEMS and knowledge of continuous improvement methodologies such as 6 sigma, LEAN



Interested applicants, please apply via the following link: https://www.infineon.com/cms/en/careers/jobsearch/jobsearch/349751-Senior-Staff-Specialist-Data-Scientist/",,Professional,Permanent,Information Technology,"INFINEON, 8 KALLANG SECTOR 349282"
,Data Scientist,"Roles & ResponsibilitiesWe are looking for an experienced candidate with solid knowledge across Data Science (Machine Learning) domain.
Responsibilities:

Develop optimal engineering solution for automating and monitoring production grade machine learning and data-driven initiatives; supporting Batch and Real-time delivery
Conduct design and code reviews with a major focus on performance, scalability and future expansion
Work closely with data scientists, business and IT teams to build platform and framework to enable machine learning and data analytics activities on a large-scale
Manage, monitor and optimise full machine learning lifecycle
Create logical data model and implements the physical database structure and constructs and implements operational feature stores
Evaluate and renew implemented data and machine learning pipelines solutions to ensure their relevance and effectiveness in supporting business needs and growth

Requirements

Degree in Computer Science, Data Science, IT or a related discipline.
5+ years of experience in software engineering or data engineering.
Programming experience in Python, Java, Pyspark and Scala.
Knowledge of Big Data frameworks like Hadoop, Spark, Impala, Hive, etc
Experience in data profiling, ETL development, testing and implementation
Experience in building and optimizing ‘big data’ data pipelines, architectures and data sets
",,Senior Executive,Contract,Information Technology,"TONG ENG BUILDING, 101 CECIL STREET 069533"
,Data Scientist,"Roles & ResponsibilitiesWe are looking for an experienced candidate with solid knowledge across Data Science (Machine Learning) domain.
Responsibilities: 

Develop optimal engineering solution for automating and monitoring production grade machine learning and data-driven initiatives; supporting Batch and Real-time delivery 
Conduct design and code reviews with a major focus on performance, scalability and future expansion
Work closely with data scientists, business and IT teams to build platform and framework to enable machine learning and data analytics activities on a large-scale 
Manage, monitor and optimise full machine learning lifecycle  
Create logical data model and implements the physical database structure and constructs and implements operational feature stores 
Evaluate and renew implemented data and machine learning pipelines solutions to ensure their relevance and effectiveness in supporting business needs and growth  

Requirements

Degree in Computer Science, Data Science, IT or a related discipline. 
5+ years of experience in software engineering or data engineering. 
Programming experience in Python, Java, Pyspark and Scala. 
Knowledge of Big Data frameworks like Hadoop, Spark, Impala, Hive, etc 
Experience in data profiling, ETL development, testing and implementation 
Experience in building and optimizing ‘big data’ data pipelines, architectures and data sets  
",,Senior Executive,Contract,Information Technology,"TONG ENG BUILDING, 101 CECIL STREET 069533"
,Data Scientist (Risk Control),"Roles & ResponsibilitiesResponsibilities

Take responsibility for the business risk control operations of Huawei Consumer BG, 
involving but not limited to identifying and classifying text and image content.
In-depth business, identify key risks in frontline operations, promote risk reduction, and ensure healthy business development.
Analyze risk cases, form a knowledge base, and form rules for risk control experts.
Collects and crawls data, builds text and image recognition models with machine learning methods, and continuously iterates.

Requirements and Qualifications


Bachelor of Engineering (CS/EC), preferably degree in CS, Mathematics and statistics.
At least 3 year working experience, experience in risk control operation, data analysis, and data mining is preferred.
Strong mathematical skills to help collect, measure, organize and analyze data
Knowledge of programming languages like HQL and Python.
Technical proficiency regarding, data models, techniques for data mining, Risk control operation. (Supervised, un supervised learning, NLP, Computer Vision). 
Develop custom data models and algorithms to apply to data sets.
Adept at using data processing platforms like Hadoop
Good at Problem-solving skills; Proven working experience in data analysis
Team-working skills and support business whenever require.
",,Executive,Permanent,Information Technology,Islandwide
,,,,,,,Undisclosed
,Head Of Data Scientist,"Roles & ResponsibilitiesAt Tokopedia, the focus of our data science team is to work on highly scalable data-driven products that have a massive impact on the business. If you are passionate in finding patterns in big data and developing prediction models, this is the place for you. Tokopedia encourages Nakama to be creative in building products, learning continuously, and solving interesting problems. We foster a culture where we enjoy raising the bar constantly for ourselves and others, and that strongly supports the freedom to explore and innovate.

Job Descriptions:
● Develop robust machine learning models
● Extract huge volumes of data from multiple internal and external sources.
● Develop data pipelines and infrastructure to scale and automate the analyses that enable rapid product iteration
● Main team’s best research and engineering practice.
● Work closely with Data Analysts, Software Engineers, and Product Owners to deliver insights and impactful products for Tokopedia.
● Devise data mining process and architecture
● Read research papers/article to create the best model/system architecture available
● Explore and examine data from a variety of angles to determine hidden weaknesses, trends, and/or opportunities.
● Employ sophisticated analytics programs, machine learning, and statistical methods to prepare data for use in predictive & prescriptive modeling

Job Requirements:
● Minimum Master’s degree in data science field, e.g. Math, Physics, and Computer Science
● 5+ years of experience in applying analytical modeling to solve business problems
● Strong problem-solving skills with a good analytical approach and logical thinking.
● Proficiency in at least one programming language, i.e : Python, Go, C/C++, etc
● Good understanding of different AI/ML models/algorithms.
● Familiarity with at least one Deep Learning framework.
● NLP, image processing knowledge is a plus.
● Good communication skills.
● A humble team player.
● Experience with the Google Cloud Platform is a plus.",,Senior Management,Permanent,Sciences / Laboratory / R&D,"Boulevard Suntec Tower Five, 5 Boulevard Suntec Tower Five 038985"
,Senior Data Scientist,"Roles & ResponsibilitiesJob Description:

Perform tasks such as data exploration, cleaning, and feature engineering
Perform research into state-of-the-art algorithms from research papers with guidance from lead data scientists
Implement data science algorithms from research papers with guidance from lead data scientists
Development of APIs from data science models
Collaborate with team members from data science and other teams to develop data science solutions

Requirements:

Bachelors in Math, Statistics, Computer science, or Engineering
2+ years experience in a data science role
Hands-on experience with machine learning model development in python
Experience and deep understanding understanding of:

- SQL
- Python programming
- Machine learning models such as random forests, gradient-boosted trees, or neural networks

Knowledge and experience in at least one of the following areas:

- Natural Language Processing
- Computer Vision
- Information Retrieval - Search & Recommendations
- Fraud detection
- Time-series analysis and modeling

Collaborative team player
Intellectually curious and always learning
",,Senior Executive,Permanent,"Engineering, Others",80 ROBINSON ROAD 068898
,Data Scientist  /  Engineer,"Roles & ResponsibilitiesJob Responsibilities

Research new analytics methods, modelling algorithms, statistical tools for the CPS & IoT applications such as Predictive Maintenance, anomaly detection, surveillance
Design and implement experiments to validate hypothesis
Identify technology gap, proposed solution for the problem and challenges
Work in collaborative team in both internal and   external partners to achieve mission and goal
Promote technical research and development to strengthen competencies for a data-driven approach
Accomplish action plan for project for execution, review, control and manage
Communicate and collaborate with multi-stake holders for alignment and realization


Job Qualification

Bachelor, Master or PhD degree in electrical and electronics engineering,   computer science, physics or applied physics or related discipline
Minimum 2-year experience in   machine learning, robot learning, computer vision, pattern recognition,   signal processing, image processing, feature representations, sensor fusion   with time-series data, sensor network data, image/video/depth data;   experience candidate to be considered for senior roles
Familiar with algorithm design and implementation
Programming skills: Python,   C/C++, Matlab
Strong interpersonal, communication skills to collaborate across teams
Strong sense of entrepreneurship
",,Senior Executive,Permanent,Engineering,4 KAKI BUKIT AVENUE 1 417939
,"Senior Manager, Data Governance","Roles & ResponsibilitiesPURPOSE

Drive the organisation-wide initiative to design and develop data governance policies, procedures and data management practices;
Drive the implementation and execution on data governance with framework (Data Quality, Catalogue, Lineage and Metadata Management, etc.), procedures, data quality, data rules and policies, data standards and data governance detail plans;

KEY ACCOUNTABILITIES

Partner with stakeholders to promote data governance awareness and culture in organisation; Regulatory Compliance – work with Compliance, Risk and IT cyber security team with respect to data governance requirements (including. personal data impact assessment, storage and retention requirements, incident reporting) that are specified in new and emerging regulations;
Accountable for the execution of defined business rules and policy across organisation Critical Data Elements and documentation of the results;
Ensure requirements of the data governance policies and procedures are adhered to;
Lead and monitor the implementation of policies, controls and process of access controls, data quality, data security and data privacy, etc.;
Oversee the capture, maintenance and dissemination of data across of organisation;
Lead stakeholders (Data Owners, Stewards, Engineering team and Data Scientist team, etc.) in all organisation efforts to establish a process to capture, prioritize, triage and manage data sets related to their domain data needs;
Review the metrics to assess and measure the success of data governance & performance
Review all Master Data and work with stakeholders for Master Data Management initiatives to ensure data quality and compliant with company standards
Collaborate with stakeholders to define and develop data governance/quality innovation by using AI and Machine Learning
Manage and plan (approach, budget, etc.) data projects

QUALIFICATIONS / EXPERIENCE

Bachelor's or higher in Business, Mathematics, Finance, Computer Science, MIS, Data Science, Statistics or others similar field is preferred, but not mandatory;
9-10 years of experience in data stewardship, data management, data analytics, or related data field to proven experience in Data Governance;
At least 7-8 years in data governance and data strategy consultancy and implementation experience;
Experience in Data Strategy, Data Scientist, Data Governance initiatives including but not limited to Master Data Management and possible technology issues;

KNOWLEDGE & TECHNICAL SKILLS

Knowledge of industry leading data quality, reference data management and data protection management practices.
Knowledge of data governance practices, business and technology issues related to management of enterprise information assets and approaches related to data protection.
Knowledge of data related government regulatory requirements and emerging trends and issues in the countries where FWD has presence and operations.
Demonstrated consulting skills, with change management concepts and strategies, including communication, culture change and performance measurement system design.
Knowledge in data management with cloud-based infrastructure (AWS, Azure or GCP);
Knowledge of insurance industry leading data analytics and AI practices;
Extensive knowledge of data governance tool implementation (e.g. Informatica, Infosphere, Colibra, etc.);
Demonstrated past success in translating ambiguous or complex requirements into contents that are readily understandable by non-IT professionals;
Experience with large scale data programs or solutions;
Experience in SQL and data modelling or experience in any NoSQL solution is a plus;
Extensive experience in Project Management is a plus;
Fluency in English, Cantonese and Mandarin (written & verbal)
",,Middle Management,Permanent,"Insurance, Risk Management","OCEAN FINANCIAL CENTRE, 10 COLLYER QUAY 049315"
,Data Science Analyst,"Roles & ResponsibilitiesThis role will be an integral part PSA Group Data For Excellence (DFE) team which drives and promotes the application of data analytics and AI solutions to PSA businesses globally.
Job Descriptions

Create value through developing data analytics solutions that supports PSA global objectives
Proactively work with key internal customers associated with new and existing business initiatives to understand, shape, agree and deliver their data analytics requirements
Monitor/understand/report data quality levels; proactively recommend actions
Select features, build and optimize classifiers using machine learning techniques
Analyse high-volume, high-dimensionality and high-volatility structured and/or unstructured data to obtain business insights and recommendations using statistical techniques and PSA Data Analytics Platform
Work and collaborate with data science and data engineering team at all stages of CRISP-DM Methodology
Align to PSA data analytics policy, standards and best practices and document as required
Prototype/POC in new areas of data analytics solution and recommend the best fit solution as per business requirements

Skills Requirements

Programming skills in at least one statistical programming language preferably Python, knowledge in Statistics and machine learning techniques.
Experience in one of the visualization tools, preferably Power BI and experience in building data models/cubes using SSAS or Azure Analysis Services
Full development lifecycle experience for the data analytics solutions such as business & data understanding, data preparation, model development, visualization, validation and deployment.
Experience in developing statistical models in both supervised and unsupervised machine learning techniques for a variety of data analytics problems.
Ability to learn and apply open source data science technologies on large datasets to explore, experiment and generate new insights and develop innovative solutions.
A good degree in Computer Science, Statistics, Data Management, Engineering and /or Masters in Business Analytics or a related field.
Effective communicator who can work with stakeholders to define requirements and refine data analytics use cases.
Strong interpersonal and presentation skills and ability to manage cross cultural differences and sensitivities.

Experience

At least 3 years of experience as a data scientist or data/BI analyst in developing dashboards and data analytics models/solutions.
",,Professional,Permanent,"Engineering, General Management, Information Technology, Others","PSA HORIZONS, 1 HARBOUR DRIVE 117352"
,Data Engineer,"Roles & ResponsibilitiesJob Description

Create and maintain optimal data pipeline architecture.
Assemble large, complex data sets that meet functional / non-functional business requirements.
Identify,design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.
Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources.
Build analytics tools that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency and other key      business performance metrics.
Work with stakeholders including the Executive, Product, Data and Design teams to assist with data-related technical issues and support their data      infrastructure needs.
Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.
Work with data and analytics experts to strive for greater functionality in our data systems.
To provide technical input on design, development and implementation for major solutions.
Able to work independently (e.g. individual contributor) as well as in a team (e.g. group contributor).
Passion for technology, good communicator, team player, positive and can-do attitude.

Job Requirements

Graduated in Computer Science, Statistics, Informatics, Information Systems and or another quantitative field.
2+ years of SQL experience, working      with relational databases, data warehousing, query authoring (SQL) as well as working familiarity with a variety of databases.
2+ years experience in building and optimizing custom ETL pipelines, architectures and data sets including maintenance and monitoring.
Development experience in C#, ASP .NET & frontend or similar.
Strong interest in discovering new technologies (e.g. ML, AI)
Experience performing root cause analysis on internal and external data and processes to answer specific business questions and identify opportunities for improvement.
Strong analytic skills related to working with unstructured datasets.
Build      processes supporting data transformation, data structures, metadata, dependency and workload management.
A  successful hi story of manipulating, processing and extracting value from large disconnected datasets.
Strong project management and organizational skills.
Experience supporting and working with cross-functional teams in a dynamic environment.
Understanding of SAP R/3 incl. data structure.
Basic knowledge of industrial business processes.
Knowledgein logistics and supply chain is plus.
",,Junior Executive,Permanent,"Engineering, Information Technology",11 BISHAN STREET 21 573943
,Principal Data Engineer,"Roles & ResponsibilitiesJob Description

The Data Scientist Team will lead the running of analytical experiments in a methodical manner, and will regularly evaluate alternate models via theoretical approaches.
Under general supervision, support the research and development of statistical learning models for data analysis.
Support in the collaboration with relevant departments to understand company needs and devise possible solutions.
Stay updated on latest technology trends.
Support in the communication of results and ideas to key decision makers and stakeholders.
Support implementation of new statistical or other mathematical methodologies as needed for specific models or analysis.
Support joint development efforts optimization through appropriate database use and project design.

Job Requirements

Master’s Degree in Computer Science, Statistics, Applied Math or related field.
At least 3 years’ practical experience with SAS, ETL, data processing, database programming and data analytics.
Basic background in data mining and statistical analysis.
Able to understand various data structures and common methods in data transformation.
Excellent pattern recognition and predictive modeling skills.
Exposure to programming languages such as Java/Python an asset.

In accordance with the requirements set by the Singaporean Government and due to the nature of the role requiring work onsite, it is a requirement for all new employees, as well as contractors, to be fully vaccinated* against COVID-19. 
*Fully vaccinated means individuals have completed the full regime of an approved COVID-19 Vaccine, including the respective post-vaccination period to ensure the vaccine has become full effective, according to prevailing vaccination guidelines as advised by Ministry of Health (MOH).
Anyone who is unable to be vaccinated due to an approved and/or recognized exemption condition may apply for special consideration.
Applicants will have to provide full vaccination details during recruitment process, in compliance with company’s regulations.",,Executive,Permanent,"Engineering, Information Technology","7 Gul Circle, Singapore 629563"
